"CoreID","pre","inc"
"out_Wein_51407_PBlank1_FTICR_r2_09Feb23_Fir_300SA_P01_9444","-2",NA
"out_Wein_51407_PBlank1_FTICR_r3_10Feb23_Fir_300SA_P01_9509","-2",NA
"out_Wein_51407_PBlank2_FTICR_r1_08Feb23_Fir_300SA_P01_9413","-2",NA
"out_Wein_51407_PBlank2_FTICR_r2_10Feb23_Fir_300SA_P01_9481","-2",NA
"out_Wein_51407_PBlank2_FTICR_r3_10Feb23_Fir_300SA_P01_9528","-2",NA
"out_Wein_51407_PBlank3_FTICR_r1_08Feb23_Fir_300SA_P01_9437","-2",NA
"out_Wein_51407_PBlank3_FTICR_r2_10Feb23_Fir_300SA_P01_9505","-2",NA
"out_Wein_51407_PBlank3_FTICR_r3_10Feb23_Fir_300SA_P01_9552","-2",NA
"out_Wein_51407_PooledQC1_FTICR_r1_08Feb23_Fir_300SA_P01_9412","-2",NA
"out_Wein_51407_PooledQC1_FTICR_r2_10Feb23_Fir_300SA_P01_9461","-6",NA
"out_Wein_51407_PooledQC1_FTICR_r3_10Feb23_Fir_300SA_P01_9527","-2",NA
"out_Wein_51407_1_B.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9396","-6","4"
"out_Wein_51407_1_B.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9494","-2","4"
"out_Wein_51407_1_B.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9534","-2","4"
"out_Wein_51407_2_Pre.6.3_FTICR_r1_08Feb23_Fir_300SA_P01_9397","-6","Pre"
"out_Wein_51407_2_Pre.6.3_FTICR_r2_10Feb23_Fir_300SA_P01_9484","-6","Pre"
"out_Wein_51407_2_Pre.6.3_FTICR_r3_10Feb23_Fir_300SA_P01_9536","-6","Pre"
"out_Wein_51407_3_C.6.3_FTICR_r1_08Feb23_Fir_300SA_P01_9398","-6","6"
"out_Wein_51407_3_C.6.3_FTICR_r2_10Feb23_Fir_300SA_P01_9500","-6","6"
"out_Wein_51407_3_C.6.3_FTICR_r3_10Feb23_Fir_300SA_P01_9549","-6","6"
"out_Wein_51407_4_B.2.2_FTICR_r1_08Feb23_Fir_300SA_P01_9399","-2","4"
"out_Wein_51407_4_B.2.2_FTICR_r2_10Feb23_Fir_300SA_P01_9498","-2","4"
"out_Wein_51407_4_B.2.2_FTICR_r3_10Feb23_Fir_300SA_P01_9537","-2","4"
"out_Wein_51407_5_C.6.2_FTICR_r1_08Feb23_Fir_300SA_P01_9400","-6","6"
"out_Wein_51407_5_C.6.2_FTICR_r2_10Feb23_Fir_300SA_P01_9503","-6","6"
"out_Wein_51407_5_C.6.2_FTICR_r3_10Feb23_Fir_300SA_P01_9544","-6","6"
"out_Wein_51407_6_D.6.3_FTICR_r1_08Feb23_Fir_300SA_P01_9401","-6","8"
"out_Wein_51407_6_D.6.3_FTICR_r2_10Feb23_Fir_300SA_P01_9478","-6","8"
"out_Wein_51407_6_D.6.3_FTICR_r3_10Feb23_Fir_300SA_P01_9550","-6","8"
"out_Wein_51407_7_Pre.6.2_FTICR_r1_08Feb23_Fir_300SA_P01_9402","-6","Pre"
"out_Wein_51407_7_Pre.6.2_FTICR_r2_10Feb23_Fir_300SA_P01_9475","-6","Pre"
"out_Wein_51407_7_Pre.6.2_FTICR_r3_10Feb23_Fir_300SA_P01_9516","-6","Pre"
"out_Wein_51407_8_E.2.2_FTICR_r1_08Feb23_Fir_300SA_P01_9403","-2","10"
"out_Wein_51407_8_E.2.2_FTICR_r2_10Feb23_Fir_300SA_P01_9477","-2","10"
"out_Wein_51407_8_E.2.2_FTICR_r3_10Feb23_Fir_300SA_P01_9521","-2","10"
"out_Wein_51407_9_E.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9404","-2","10"
"out_Wein_51407_9_E.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9487","-2","10"
"out_Wein_51407_9_E.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9522","-2","10"
"out_Wein_51407_10_E.6.3_FTICR_r1_08Feb23_Fir_300SA_P01_9405","-6","10"
"out_Wein_51407_10_E.6.3_FTICR_r2_10Feb23_Fir_300SA_P01_9489","-6","10"
"out_Wein_51407_10_E.6.3_FTICR_r3_10Feb23_Fir_300SA_P01_9546","-6","10"
"out_Wein_51407_11_D.2.2_FTICR_r1_08Feb23_Fir_300SA_P01_9406","-6","8"
"out_Wein_51407_11_D.2.2_FTICR_r2_10Feb23_Fir_300SA_P01_9501","-2","8"
"out_Wein_51407_11_D.2.2_FTICR_r3_10Feb23_Fir_300SA_P01_9526","-6","8"
"out_Wein_51407_12_E.6.1_FTICR_r1_08Feb23_Fir_300SA_P01_9407","-6","10"
"out_Wein_51407_12_E.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9490","-6","10"
"out_Wein_51407_12_E.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9512","-6","10"
"out_Wein_51407_13_E.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9408","-2","10"
"out_Wein_51407_13_E.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9467","-6","10"
"out_Wein_51407_13_E.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9540","-2","10"
"out_Wein_51407_14_C.2.2_FTICR_r1_08Feb23_Fir_300SA_P01_9409","-2","6"
"out_Wein_51407_14_C.2.2_FTICR_r2_10Feb23_Fir_300SA_P01_9502","-2","6"
"out_Wein_51407_14_C.2.2_FTICR_r3_10Feb23_Fir_300SA_P01_9524","-2","6"
"out_Wein_51407_15_D.6.2_FTICR_r1_08Feb23_Fir_300SA_P01_9410","-6","8"
"out_Wein_51407_15_D.6.2_FTICR_r2_10Feb23_Fir_300SA_P01_9469","-6","8"
"out_Wein_51407_15_D.6.2_FTICR_r3_10Feb23_Fir_300SA_P01_9541","-6","8"
"out_Wein_51407_16_A.6.2_FTICR_r1_08Feb23_Fir_300SA_P01_9411","-6","2"
"out_Wein_51407_16_A.6.2_FTICR_r2_10Feb23_Fir_300SA_P01_9495","-6","2"
"out_Wein_51407_16_A.6.2_FTICR_r3_10Feb23_Fir_300SA_P01_9525","-6","2"
"out_Wein_51407_17_A.6.3_FTICR_r1_08Feb23_Fir_300SA_P01_9416","-6","2"
"out_Wein_51407_17_A.6.3_FTICR_r2_10Feb23_Fir_300SA_P01_9491","-6","2"
"out_Wein_51407_17_A.6.3_FTICR_r3_10Feb23_Fir_300SA_P01_9538","-6","2"
"out_Wein_51407_18_B.6.3_FTICR_r1_08Feb23_Fir_300SA_P01_9417","-6","4"
"out_Wein_51407_18_B.6.3_FTICR_r2_10Feb23_Fir_300SA_P01_9472","-6","4"
"out_Wein_51407_18_B.6.3_FTICR_r3_10Feb23_Fir_300SA_P01_9531","-6","4"
"out_Wein_51407_19_A.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9418","-2","2"
"out_Wein_51407_19_A.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9493","-2","2"
"out_Wein_51407_19_A.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9518","-2","2"
"out_Wein_51407_20_Pre.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9419","-2","Pre"
"out_Wein_51407_20_Pre.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9474","-2","Pre"
"out_Wein_51407_20_Pre.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9514","-2","Pre"
"out_Wein_51407_21_B.6.2_FTICR_r1_08Feb23_Fir_300SA_P01_9420","-6","4"
"out_Wein_51407_21_B.6.2_FTICR_r2_10Feb23_Fir_300SA_P01_9492","-6","4"
"out_Wein_51407_21_B.6.2_FTICR_r3_10Feb23_Fir_300SA_P01_9515","-6","4"
"out_Wein_51407_22_Pre.2.2_FTICR_r1_08Feb23_Fir_300SA_P01_9421","-2","Pre"
"out_Wein_51407_22_Pre.2.2_FTICR_r2_10Feb23_Fir_300SA_P01_9471","-2","Pre"
"out_Wein_51407_22_Pre.2.2_FTICR_r3_10Feb23_Fir_300SA_P01_9523","-2","Pre"
"out_Wein_51407_23_D.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9499","-6","8"
"out_Wein_51407_23_D.6.1_FTICR_r2_r3_composite","-6","8"
"out_Wein_51407_23_D.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9532","-6","8"
"out_Wein_51407_24_D.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9423","-2","8"
"out_Wein_51407_24_D.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9470","-2","8"
"out_Wein_51407_24_D.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9542","-2","8"
"out_Wein_51407_25_A.6.1_FTICR_r1_08Feb23_Fir_300SA_P01_9424","-6","2"
"out_Wein_51407_25_A.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9468","-6","2"
"out_Wein_51407_25_A.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9543","-6","2"
"out_Wein_51407_26_C.6.1_FTICR_r1_08Feb23_Fir_300SA_P01_9425","-6","6"
"out_Wein_51407_26_C.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9486","-6","6"
"out_Wein_51407_26_C.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9513","-6","6"
"out_Wein_51407_27_E.6.2_FTICR_r1_08Feb23_Fir_300SA_P01_9426","-6","10"
"out_Wein_51407_27_E.6.2_FTICR_r2_10Feb23_Fir_300SA_P01_9476","-6","10"
"out_Wein_51407_27_E.6.2_FTICR_r3_10Feb23_Fir_300SA_P01_9539","-6","10"
"out_Wein_51407_28_C.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9427","-2","6"
"out_Wein_51407_28_C.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9473","-2","6"
"out_Wein_51407_28_C.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9517","-2","6"
"out_Wein_51407_29_A.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9428","-2","2"
"out_Wein_51407_29_A.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9464","-6","2"
"out_Wein_51407_29_A.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9519","-2","2"
"out_Wein_51407_30_C.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9429","-2","6"
"out_Wein_51407_30_C.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9496","-6","6"
"out_Wein_51407_30_C.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9511","-2","6"
"out_Wein_51407_31_B.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9430","-2","4"
"out_Wein_51407_31_B.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9479","-2","4"
"out_Wein_51407_31_B.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9520","-2","4"
"out_Wein_51407_32_B.6.1_FTICR_r1_08Feb23_Fir_300SA_P01_9431","-6","4"
"out_Wein_51407_32_B.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9465","-6","4"
"out_Wein_51407_32_B.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9545","-6","4"
"out_Wein_51407_33_A.2.2_FTICR_r1_08Feb23_Fir_300SA_P01_9432","-2","2"
"out_Wein_51407_33_A.2.2_FTICR_r2_10Feb23_Fir_300SA_P01_9485","-2","2"
"out_Wein_51407_33_A.2.2_FTICR_r3_10Feb23_Fir_300SA_P01_9547","-2","2"
"out_Wein_51407_34_D.2.3_FTICR_r1_08Feb23_Fir_300SA_P01_9433","-2","8"
"out_Wein_51407_34_D.2.3_FTICR_r2_10Feb23_Fir_300SA_P01_9466","-6","8"
"out_Wein_51407_34_D.2.3_FTICR_r3_10Feb23_Fir_300SA_P01_9548","-2","8"
"out_Wein_51407_35_Pre.6.1_FTICR_r1_08Feb23_Fir_300SA_P01_9434","-6","Pre"
"out_Wein_51407_35_Pre.6.1_FTICR_r2_10Feb23_Fir_300SA_P01_9497","-6","Pre"
"out_Wein_51407_35_Pre.6.1_FTICR_r3_10Feb23_Fir_300SA_P01_9533","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_r1_08Feb23_Fir_300SA_P01_9435","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_r2_10Feb23_Fir_300SA_P01_9488","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_r3_10Feb23_Fir_300SA_P01_9535","-6","Pre"
"out_Wein_51407_PBlank1_FTICR_r1_08Feb23_Fir_300SA_P01_9394","-2",NA
