Metabolites,Count_-2,Count_-6,Mean_-2,Mean_-6,Fold_change_-2_vs_-6,P_value_A_-2_vs_-6,Flag_A_-2_vs_-6,,
Sucrose,16,18,18.18409564,19.27476849,-1.090672844,0.000161433,-1,,
Unknown 151,16,18,16.4982991,17.56992894,-1.071629842,0.010361666,-1,,
Tagatose,16,18,16.65909088,17.41677595,-0.757685067,0.015153726,-1,,
D-xylose,16,18,12.84675091,13.37670576,-0.529954845,0.01342314,-1,,
Unknown 082,16,18,14.61793975,15.1292942,-0.511354449,0.04167337,-1,,
Unknown 174,16,18,15.51910904,15.96820861,-0.449099562,0.035622675,-1,,
Unknown 075,16,18,15.38663225,15.65356214,-0.266929888,0.016564927,-1,,
Unknown 106,16,18,14.94193385,15.15915305,-0.2172192,0.044330423,-1,,
Unknown 076,16,18,16.10799777,15.97082486,0.137172906,0.038363651,1,,
nonanoic acid,16,18,18.71173712,18.57393225,0.137804864,0.043885013,1,,
2-phenylacetamide,16,18,16.45094274,16.30557439,0.14536835,0.035712758,1,,
D-fructose,16,18,17.00693143,16.84697423,0.159957198,0.029307022,1,,
Unknown 039,16,18,15.6867876,15.52361702,0.16317058,0.01069073,1,,
Unknown 101,16,18,13.99772043,13.82133794,0.176382485,0.00648555,1,,
2-phenylacetic acid,16,18,14.15406949,13.97579467,0.178274817,0.003446014,1,,
Trehalose,16,18,25.10397562,24.91957982,0.184395794,0.023941505,1,,
3-(4-hydroxyphenyl)propionic acid (phloretic acid),16,18,13.84248416,13.58238961,0.260094556,0.022422103,1,,
Unknown 034,16,18,16.5235956,16.24379542,0.27980018,0.013278339,1,,
Unknown 102,16,18,14.65856824,14.27520909,0.383359157,0.016762223,1,,
Sugars - Monosaccharide - Phosphate,16,18,14.43021495,14.00581607,0.424398885,0.026034366,1,,
Sugars - Disaccharide4,16,18,14.04249139,13.55030849,0.492182902,0.036641753,1,,
Unknown 158,16,18,16.76712715,16.23098259,0.536144551,0.045428535,1,,
Unknown 064,14,18,13.46283751,12.38563669,1.077200819,0.013421183,1,,
Scyllo-inositol,16,18,13.3502168,13.99628526,-0.646068463,0.052914285,0,,
Unknown 232,16,18,17.70726372,18.0784255,-0.371161773,0.058982954,0,,
Unknown 126,16,18,14.90934841,15.39761387,-0.488265456,0.059482711,0,,
Unknown 032,16,18,18.78463734,18.66700311,0.117634221,0.060336567,0,,
Unknown 147,16,18,16.35364121,16.86733753,-0.513696319,0.062385391,0,,
Lactic acid,16,18,15.81303648,15.51442398,0.298612496,0.063039028,0,,
Glucosamine-1-phosphate,16,18,17.7323974,17.44883467,0.283562725,0.063060688,0,,
Unknown 201,16,18,15.64890651,15.38540879,0.263497722,0.064584376,0,,
Unknown 011,16,18,16.91843334,16.78790459,0.130528755,0.065578668,0,,
Unknown 078,16,18,15.3652371,15.22505228,0.140184823,0.068589709,0,,
Unknown 206,16,18,14.53408406,14.88556458,-0.351480529,0.068974026,0,,
Unknown 057,16,18,15.40973287,15.26980692,0.139925947,0.075011664,0,,
3-hydroxypentanoic acid,16,18,13.86829645,14.34373426,-0.475437807,0.077384556,0,,
Myristic acid,16,18,16.08155213,14.99841458,1.083137543,0.077632083,0,,
Unknown 190,16,18,14.43092875,15.30099257,-0.870063822,0.077725225,0,,
Unknown 175,16,18,16.0130492,15.84516076,0.167888443,0.077750669,0,,
Sugars - Disaccharide5,16,18,17.3149961,17.13496431,0.180031791,0.080090499,0,,
1-hexadecanol,16,18,13.2974132,13.0421305,0.255282702,0.081356624,0,,
Sugars - Trisaccharide3,16,18,16.38249644,16.82851202,-0.446015581,0.083069865,0,,
Unknown 037,16,18,13.75408117,13.56179862,0.192282554,0.083185694,0,,
Unknown 095,16,18,13.94567828,13.71189183,0.233786449,0.086081626,0,,
Sugars - Trisaccharide1,16,18,19.13362723,18.67515679,0.458470437,0.086393547,0,,
Unknown 156,16,18,14.80957045,14.5732088,0.236361647,0.087632441,0,,
Unknown 146,16,18,15.33224343,14.97863779,0.353605641,0.090185355,0,,
Unknown 050,16,18,13.79215352,13.55531005,0.23684347,0.091527436,0,,
Unknown 090,16,18,13.08933449,13.35759841,-0.268263923,0.092269101,0,,
Unknown 222,16,18,16.67231884,16.96078505,-0.288466212,0.099525242,0,,
Unknown 020,16,18,15.21676278,15.08799954,0.12876324,0.101831424,0,,
Unknown 177,16,18,14.82009574,14.52440099,0.295694748,0.103893004,0,,
Unknown 083,16,18,12.7297087,13.4265033,-0.696794595,0.10599525,0,,
Unknown 194,15,16,14.85109005,14.10634829,0.74474176,0.108271122,0,,
Glycolic acid,16,18,13.96783134,13.8442581,0.123573237,0.108774339,0,,
4-aminobutyric acid (GABA),16,18,15.44528902,15.6833828,-0.238093787,0.112356924,0,,
Unknown 100,16,18,13.54978865,13.78344341,-0.233654757,0.116071267,0,,
Glycerol 3-phosphate,16,18,14.67933941,14.33982729,0.339512118,0.11697699,0,,
Unknown 236,16,18,16.68735849,16.26947159,0.417886898,0.1228528,0,,
Sugars - Disaccharide3,16,18,12.660559,12.89350942,-0.232950416,0.128299495,0,,
Arachidic acid,16,18,15.62294634,15.51117599,0.111770353,0.13336347,0,,
Unknown 099,16,18,16.35485023,16.11620488,0.238645359,0.135660649,0,,
Unknown 009,16,18,16.0638083,15.88229342,0.18151488,0.139148459,0,,
L-Sorbose,14,17,11.76467756,12.61523041,-0.850552858,0.142781386,0,,
Unknown 048,16,18,14.41903586,14.00285913,0.416176732,0.145161628,0,,
Unknown 071,16,18,16.41988072,16.78911239,-0.369231678,0.146882678,0,,
Unknown 213,16,18,20.52122983,20.75395653,-0.232726698,0.147160915,0,,
Unknown 012,16,18,14.22277563,14.09207498,0.130700653,0.148031716,0,,
Unknown 022,16,18,13.77147854,13.46971901,0.301759531,0.149211757,0,,
Unknown 141,16,18,15.15475841,15.28382794,-0.129069527,0.152382591,0,,
3-hydroxybutyric acid,16,18,16.87669941,17.0562959,-0.179596495,0.156255246,0,,
D-galactose,16,18,15.80787294,16.23950703,-0.431634092,0.156722279,0,,
Sugars - Trisaccharide2,16,18,18.48376131,18.92836626,-0.444604951,0.15733514,0,,
Unknown 061,16,18,14.83992514,14.44392049,0.396004658,0.158117861,0,,
Unknown 242,16,18,16.5067584,16.93138813,-0.424629733,0.162157448,0,,
Unknown 080,16,18,13.91539813,13.51260591,0.402792224,0.163359983,0,,
Monomethyl succinic acid,16,18,14.73780599,14.46059188,0.277214106,0.168158591,0,,
Unknown 063,16,18,13.78158747,13.44109562,0.340491858,0.168926216,0,,
D-glucose,16,18,18.84427396,19.22569441,-0.38142045,0.169982518,0,,
Sugars - Disaccharide1,16,18,15.40363435,14.9866972,0.416937152,0.171651835,0,,
Ciliatine,16,18,14.20536518,14.45800928,-0.252644098,0.175656448,0,,
Unknown 089,16,18,13.8120906,14.30057352,-0.488482925,0.182377432,0,,
Sugars - Disaccharide6,16,18,16.10098444,15.90651765,0.194466792,0.187645638,0,,
Sugars - Disaccharide2,16,18,14.64988731,14.25413281,0.395754499,0.193102235,0,,
Porphine,16,18,18.37886934,18.09710082,0.281768523,0.194794673,0,,
Unknown 105,16,18,14.1504629,14.0120268,0.138436102,0.200902135,0,,
Unknown 074,16,18,15.42787596,15.28375762,0.144118335,0.201579523,0,,
Unknown 197,16,18,15.81413885,15.69508339,0.11905546,0.202342236,0,,
Unknown 198,16,18,16.04993336,15.95668775,0.093245603,0.202694757,0,,
Unknown 024,16,18,14.19729283,14.08206937,0.115223459,0.209900542,0,,
Palmitic acid,16,18,22.15377889,22.04503346,0.108745434,0.213984822,0,,
Unknown 052,16,18,14.05028599,13.75713852,0.293147475,0.223424234,0,,
Unknown 150,16,18,15.64841235,16.06375809,-0.415345732,0.227965185,0,,
Unknown 234,16,18,17.05428599,17.18527973,-0.130993739,0.229582472,0,,
Unknown 051,16,18,14.54213978,14.18834047,0.353799314,0.232131084,0,,
Unknown 129,16,18,15.73216179,16.19281614,-0.460654341,0.232145971,0,,
Unknown 160,16,18,14.1695721,14.01197536,0.157596739,0.236431883,0,,
Gerulic acid,15,18,14.22798217,14.42377662,-0.195794447,0.236876029,0,,
Unknown 072,16,18,14.9303181,15.37137018,-0.441052081,0.24366086,0,,
Unknown 119,16,18,13.89314334,14.3634831,-0.470339753,0.245860744,0,,
Unknown 131,16,18,15.72516971,15.47838806,0.246781657,0.249670134,0,,
Unknown 189,16,18,17.76288973,17.60444373,0.158445995,0.25188599,0,,
1-(4-(4'-chlorophenyl)-2-thiazolyl)-3-(2-hydroxy-phenyl)-5-(2-butyl-4-chloro-1H-imidazol,14,15,11.64937366,12.28201642,-0.632642757,0.252519547,0,,
Palmitoleic acid,16,18,14.43746769,14.36185408,0.075613608,0.254782596,0,,
Unknown 014,16,18,16.06250263,15.96407068,0.098431954,0.255695829,0,,
Isomaltose,16,17,13.71433117,13.10545718,0.608873991,0.255777987,0,,
Unknown 113,16,18,14.92144123,15.19262292,-0.271181689,0.256949804,0,,
Unknown 220,16,18,14.60527844,14.40338661,0.201891829,0.257395442,0,,
Unknown 013,16,18,16.4018035,16.32242648,0.079377022,0.260547318,0,,
resorcinol,7,3,12.61866509,13.63062418,-1.011959093,0.266107985,0,,
Unknown 059,16,18,12.93405996,13.33085023,-0.396790268,0.267502595,0,,
Unknown 077,16,18,15.2778216,15.59408834,-0.316266739,0.269486966,0,,
Unknown 112,16,18,16.20960249,16.11865158,0.09095091,0.272642227,0,,
Palatinitol,15,18,13.94926078,13.38215177,0.567109012,0.273142423,0,,
behenic acid,16,18,17.64341529,17.54312472,0.100290571,0.275902923,0,,
Unknown 148,16,18,15.8005822,15.68959955,0.110982649,0.276571884,0,,
Unknown 184,16,18,15.99702505,16.80341414,-0.806389092,0.277836161,0,,
Azelaic acid,16,18,14.80437802,14.63098828,0.173389738,0.284542221,0,,
Unknown 202,16,18,14.72373238,14.41656,0.307172378,0.291120918,0,,
Unknown 008,16,18,15.15548145,15.02619797,0.129283476,0.293283151,0,,
Unknown 079,16,18,16.05000619,15.72315477,0.326851421,0.293657043,0,,
Unknown 019,15,17,13.50791945,13.14501378,0.362905675,0.294657506,0,,
Unknown 002,16,18,20.32344919,20.26587661,0.057572579,0.296189174,0,,
Linoleic acid,16,18,16.87323701,16.99643177,-0.123194764,0.300372558,0,,
Unknown 216,16,18,14.8475971,14.66107748,0.186519626,0.300733177,0,,
Possible Sterol,16,18,14.21577474,14.64132843,-0.425553696,0.303549302,0,,
Unknown 200,16,18,15.75650236,15.66126527,0.095237085,0.306769608,0,,
Maltose,16,17,12.67541855,13.12500455,-0.449585995,0.308388793,0,,
Unknown 243,16,18,14.17131576,14.68092899,-0.509613229,0.309331056,0,,
Unknown 067,16,18,14.14749483,13.71077544,0.436719391,0.311714787,0,,
Unknown 139,16,18,16.31457327,16.16651345,0.148059823,0.313536032,0,,
Unknown 001,16,18,14.30394875,14.67621141,-0.372262658,0.31360424,0,,
Ethanolamine,16,18,14.97283282,15.12331007,-0.150477255,0.313646273,0,,
Unknown 192,15,18,16.40117947,16.73140551,-0.330226045,0.315660641,0,,
Unknown 212,16,18,15.44289189,15.26282707,0.180064818,0.319345942,0,,
Unknown 049,16,18,15.54165516,15.76237838,-0.22072322,0.321989665,0,,
Unknown 165,16,18,14.26559748,14.14968047,0.115917011,0.322449342,0,,
pentasiloxane,16,18,16.92330684,17.24424787,-0.320941031,0.32299117,0,,
Myo-inositol,16,18,17.84686109,17.73061824,0.116242847,0.325381373,0,,
Carbonate ion,16,18,20.12838465,19.98182295,0.146561698,0.330205146,0,,
Unknown 181,16,18,14.80704242,14.35212822,0.454914204,0.33477013,0,,
Palatinose,16,18,14.1824826,14.40073967,-0.21825707,0.336701788,0,,
Unknown 128,16,18,14.56204868,14.16191272,0.400135958,0.336879269,0,,
Stearic acid,16,18,22.07618635,21.96234298,0.113843372,0.339182277,0,,
Unknown 152,16,18,16.32262979,16.11108216,0.211547627,0.340666418,0,,
Unknown 060,16,18,14.01093264,13.89292949,0.118003148,0.341592456,0,,
Heptadecanoic acid,16,18,15.04644496,14.98732541,0.059119552,0.346456298,0,,
Unknown 188,16,18,17.48262996,17.21064643,0.271983531,0.354087308,0,,
Turanose,16,18,13.87578382,13.5325776,0.343206224,0.356713841,0,,
Unknown 010,16,18,20.21846899,20.34844661,-0.129977626,0.361554961,0,,
Unknown 229,16,16,13.80295661,14.25929432,-0.45633771,0.363748914,0,,
Unknown 026,16,18,12.56371698,12.28170422,0.282012765,0.370244785,0,,
Unknown 073,16,18,15.15247419,14.87138183,0.281092356,0.371974111,0,,
Unknown 056,16,18,14.01493038,13.83275272,0.182177662,0.375164748,0,,
Unknown 054,16,18,20.69524574,20.89370592,-0.198460177,0.375589318,0,,
Unknown 205,16,18,15.40107531,15.04517391,0.355901402,0.379834462,0,,
Unknown 042,16,18,15.73662551,15.42874843,0.307877083,0.380358466,0,,
Sugars - Monosaccharide Hexose1,16,18,14.09619903,14.24881551,-0.152616479,0.381336212,0,,
Unknown 125,16,18,14.34029336,14.28058528,0.059708082,0.382056951,0,,
Unknown 069,16,18,15.12077581,15.58082045,-0.46004464,0.382744591,0,,
Unknown 153,16,18,17.64773851,18.36334649,-0.715607983,0.386182806,0,,
Unknown 036,16,18,15.32886415,14.90192573,0.426938423,0.389237156,0,,
L-homoserine,4,5,12.02170341,12.4339198,-0.412216394,0.397821365,0,,
Unknown 015,16,18,14.48843571,14.38567443,0.102761272,0.404150951,0,,
Unknown 149,16,18,14.04190667,13.932365,0.109541671,0.411646491,0,,
Unknown 246,16,18,12.43585813,12.98833359,-0.552475454,0.425838656,0,,
Unknown 244,16,18,17.11116924,16.96361579,0.147553457,0.431337184,0,,
Unknown 223,16,18,17.25188236,17.35437015,-0.10248779,0.433055621,0,,
Unknown 066,16,18,14.49212445,14.18382909,0.308295363,0.444171429,0,,
Unknown 237,16,17,17.29170538,17.46709429,-0.175388911,0.445120359,0,,
Unknown 170,16,18,14.77796532,14.44143153,0.336533793,0.445539678,0,,
Unknown 218,16,18,14.34500331,14.62518204,-0.28017873,0.447712779,0,,
Unknown 199,16,18,15.53188579,15.38723095,0.144654841,0.452525097,0,,
4-Diphenylphosphinoyl-5-methylhex-2-enyl tert-butyl(dimethyl)silyl ether,16,18,14.95157029,15.03938501,-0.08781472,0.45386046,0,,
Unknown 003,16,18,14.33676333,14.45270013,-0.115936795,0.457286626,0,,
Unknown 203,16,18,14.915076,14.73753333,0.177542666,0.457353537,0,,
L-glutamic acid,16,18,16.62899329,16.52065847,0.108334824,0.457947639,0,,
Unknown 233,16,18,15.34684224,15.74988042,-0.403038179,0.462451646,0,,
Unknown 215,16,18,17.72768511,17.67233323,0.055351879,0.463160875,0,,
Unknown 058,16,18,14.7159036,14.80079137,-0.084887773,0.465566292,0,,
Unknown 178,16,18,14.21883341,14.13723826,0.081595147,0.470093983,0,,
Unknown 183,16,18,14.11224756,14.50548382,-0.393236265,0.475085283,0,,
Unknown 017,16,18,14.3194204,14.53401296,-0.214592559,0.476813651,0,,
Unknown 248,16,18,17.84028931,17.97454085,-0.134251542,0.477993536,0,,
Unknown 161,16,18,17.7993798,17.73218476,0.067195042,0.478495734,0,,
Unknown 172,16,18,15.68939696,15.60674321,0.082653752,0.48214522,0,,
Unknown 163,16,18,12.96596427,13.23129168,-0.265327408,0.483191146,0,,
Unknown 025,16,18,14.44024741,14.2925516,0.147695812,0.483326788,0,,
Unknown 157,16,18,14.77763693,14.50654504,0.271091892,0.485149533,0,,
Unknown 217,16,18,14.26348107,14.49045014,-0.226969069,0.485641778,0,,
Unknown 133,16,18,15.77778885,15.66568686,0.112101987,0.486454509,0,,
Unknown 124,16,18,18.23686426,18.45923899,-0.222374728,0.489447086,0,,
1,2-cyclohexanedione,16,18,13.24276363,12.74777677,0.494986864,0.154366006,0,
Unknown 211,16,18,14.27893375,14.51631667,-0.237382922,0.495431931,0,,
Lauric acid,16,18,14.52245611,14.47193911,0.050516998,0.502151445,0,,
Unknown 096,16,18,15.08182283,14.93834293,0.143479896,0.50279706,0,,
1-Octadecanol,16,18,15.5511585,15.50125784,0.049900657,0.504459677,0,,
Unknown 155,16,18,15.65862392,15.50897393,0.14964999,0.512320694,0,,
Corosolic acid,16,18,19.31183378,19.39399408,-0.082160298,0.513494585,0,,
Unknown 027,16,18,13.72142357,13.93744129,-0.216017714,0.514936586,0,,
Unknown 093,10,14,13.00889204,13.45844702,-0.449554983,0.514994042,0,,
Unknown 121,16,18,13.01098181,12.80763001,0.203351807,0.515610385,0,,
Unknown 065,16,18,14.44672195,14.5528393,-0.106117353,0.529645798,0,,
Unknown 166,16,18,15.55781074,15.75071406,-0.19290332,0.533936357,0,,
L-pyroglutamic acid,16,18,12.90566088,12.99427412,-0.088613238,0.538697769,0,,
Unknown 173,16,18,14.6272724,14.87385039,-0.246577997,0.543906953,0,,
Unknown 091,16,18,14.26221567,14.48287229,-0.220656614,0.552778156,0,,
Sugars - Monosaccharide Hexose2,16,18,13.73662499,13.55085111,0.185773882,0.555488758,0,,
Unknown 040,16,18,16.0134881,16.12871492,-0.115226821,0.557075615,0,,
Unknown 030,16,18,13.82142007,13.681572,0.139848064,0.557273336,0,,
Unknown 045,16,18,14.17817376,13.96770505,0.210468714,0.562562075,0,,
Unknown 047,16,18,16.23300816,16.16198988,0.071018283,0.563009903,0,,
Unknown 041,16,18,14.76206137,14.85816553,-0.096104156,0.565571223,0,,
Unknown 116,16,18,13.28859945,13.53634986,-0.247750412,0.569281772,0,,
Unknown 006,16,18,14.27445422,14.02733258,0.247121641,0.572049829,0,,
Unknown 135,16,18,16.54864787,16.46605112,0.082596751,0.574029031,0,,
Unknown 167,16,18,12.36669924,12.55405428,-0.187355036,0.576184852,0,,
Unknown 210,16,18,16.66897568,16.71486907,-0.045893385,0.583105268,0,,
Unknown 227,16,18,19.0645312,19.13663057,-0.072099365,0.588805014,0,,
Unknown 245,16,18,17.06846477,16.96361579,0.104848978,0.590298834,0,,
Unknown 117,16,18,15.35158972,15.45411087,-0.102521145,0.59529901,0,,
Unknown 018,16,18,13.68542267,13.97355352,-0.288130851,0.598833157,0,,
Unknown 070,16,18,13.39769525,13.5386523,-0.140957044,0.600678875,0,,
Fumaric acid,16,18,13.95651585,13.8081374,0.148378448,0.60252929,0,,
Unknown 228,16,18,17.54964311,17.49423052,0.055412589,0.603961183,0,,
Unknown 195,16,18,16.60086107,16.64536618,-0.044505109,0.610669055,0,,
Unknown 104,16,18,13.71915972,13.79839153,-0.079231807,0.611006501,0,,
Alizarin,16,18,12.94161617,13.09998059,-0.158364428,0.613687552,0,,
Unknown 088,16,18,14.20672037,14.31333599,-0.106615618,0.614600023,0,,
Unknown 239,16,18,16.99682008,17.13154413,-0.134724057,0.615932802,0,,
Unknown 240,16,18,16.99682008,17.13154413,-0.134724057,0.615932802,0,,
L-dithiothreitol,16,18,12.33169891,12.15795201,0.173746894,0.617782319,0,,
Succinic acid,16,18,16.71390239,16.67280812,0.041094273,0.61887314,0,,
Unknown 031,16,18,14.50305694,14.45266355,0.050393383,0.619124438,0,,
3-Methoxy-4-hydroxyphenol 1-O-?-D-glucopyranoside,16,17,12.82275473,13.09942949,-0.276674751,0.626878135,0,,
Unknown 109,16,18,12.41519006,12.27181393,0.143376134,0.62953701,0,,
Unknown 191,16,18,13.79102378,13.51364179,0.277381988,0.630408497,0,,
Capric acid,16,18,14.1983688,14.23239227,-0.034023472,0.631609484,0,,
Unknown 134,16,18,16.10122101,16.04103486,0.060186153,0.632060717,0,,
Unknown 241,16,18,16.21305406,16.34855968,-0.135505615,0.632595147,0,,
Unknown 035,16,18,15.66667984,15.46982433,0.196855503,0.632890192,0,,
Unknown 038,16,18,14.94112546,14.87588228,0.065243181,0.633032701,0,,
Unknown 094,16,18,16.20813175,16.30139316,-0.09326141,0.636628172,0,,
Unknown 162,16,18,14.27343788,14.47776648,-0.204328603,0.637643304,0,,
Arbutin,16,18,16.27647215,16.4107586,-0.13428645,0.638672381,0,,
Unknown 186,16,18,15.57729327,15.50617207,0.0711212,0.639787639,0,,
Unknown 068,16,18,14.99553585,14.77719234,0.21834351,0.640076939,0,,
Unknown 226,16,18,20.90346791,20.96076165,-0.057293743,0.640631116,0,,
Salicylic acid,6,3,14.26632887,14.52060823,-0.254279358,0.642593554,0,,
Unknown 225,16,18,18.70458266,18.75622099,-0.051638327,0.642848104,0,,
Unknown 230,16,18,13.88943825,13.59537135,0.294066902,0.648176419,0,,
Unknown 043,16,18,13.56067386,13.53123256,0.029441292,0.651102109,0,,
Unknown 207,16,18,20.02265608,20.07429705,-0.051640968,0.655462781,0,,
Unknown 127,16,18,14.78861079,14.68264169,0.105969104,0.663346007,0,,
D-arabitol,12,14,13.07386673,13.27487577,-0.201009039,0.669405224,0,,
Unknown 208,16,18,15.00902621,15.20703566,-0.198009447,0.678113167,0,,
Unknown 235,16,18,16.94837066,16.83844795,0.109922713,0.682422698,0,,
Unknown 144,16,18,15.01385513,14.9360553,0.07779983,0.685755322,0,,
Unknown - Similarity to Oleic acid,16,18,15.19696562,15.16094562,0.036019995,0.687006412,0,,
Unknown 143,16,18,14.4999176,14.56533148,-0.065413877,0.689015474,0,,
Unknown 204,16,18,15.17725345,15.24753078,-0.070277337,0.690372756,0,,
Unknown 130,16,18,13.66859538,13.52792098,0.140674398,0.69544267,0,,
Unknown 221,15,18,16.159621,16.20292995,-0.043308954,0.69680237,0,,
Unknown 021,16,18,15.24889626,15.32561793,-0.076721667,0.701007284,0,,
Unknown 081,16,18,18.20895812,18.2879951,-0.079036981,0.703773321,0,,
2-furoic acid,16,18,15.07756319,14.91963902,0.157924172,0.705517915,0,,
Unknown 176,16,18,18.51193142,18.46865832,0.043273097,0.709434934,0,,
Unknown 122,16,18,15.32545617,15.17847671,0.146979454,0.719537661,0,,
Unknown 016,16,18,14.09868909,14.17731011,-0.078621015,0.720369325,0,,
Unknown 185,16,18,14.5973925,14.54315807,0.054234429,0.723001668,0,,
Unknown 055,16,18,16.62775612,16.6871936,-0.059437477,0.728466455,0,,
Unknown 159,16,18,15.71864784,15.67089798,0.047749865,0.734333235,0,,
Unknown 231,16,16,14.13746457,14.24570772,-0.108243148,0.735823578,0,,
Unknown 164,16,18,14.56376604,14.4867412,0.077024833,0.741853235,0,,
Unknown 187,16,18,18.80964848,18.77930078,0.030347694,0.741923939,0,,
Unknown 097,16,18,14.71663992,14.77690288,-0.060262955,0.757907751,0,,
Unknown 168,16,18,15.27812856,15.15309244,0.125036116,0.761299658,0,,
Unknown 107,16,18,14.52924109,14.6026031,-0.073362009,0.764975076,0,,
Unknown 214,16,18,13.88663498,13.92269184,-0.036056861,0.767262504,0,,
Unknown 145,16,18,16.41337,16.1859245,0.227445506,0.770076102,0,,
Unknown 138,16,18,14.14296655,14.01383232,0.129134237,0.781496004,0,,
Unknown 114,16,18,15.19313551,15.12197054,0.071164962,0.782099791,0,,
Unknown 209,16,18,15.83681025,15.8607054,-0.023895149,0.782199343,0,,
Unknown 120,16,18,16.91828521,17.02041932,-0.102134115,0.791121901,0,,
Unknown 142,16,18,16.29088759,16.25352267,0.037364918,0.808591049,0,,
Lignoceric acid,16,18,15.42926384,15.5058329,-0.076569064,0.811311222,0,,
Unknown 046,16,18,11.99481333,11.94479923,0.050014105,0.811841884,0,,
Unknown 118,16,18,14.51796281,14.48741106,0.030551753,0.816244923,0,,
Unknown 115,16,18,15.23328663,15.1773124,0.055974233,0.81628371,0,,
Unknown 224,16,18,17.04122627,17.00001332,0.041212953,0.821384402,0,,
Unknown 110,16,18,15.83876707,15.73753841,0.101228661,0.823774046,0,,
Unknown 007,16,18,13.75892614,13.6783336,0.080592538,0.831663609,0,,
Sugars - Monosaccharide Hexose3,16,18,13.23426695,13.16673364,0.067533315,0.833200435,0,,
Unknown 023,16,18,18.49723336,18.52556616,-0.02833279,0.836990175,0,,
Unknown 247,16,18,14.78440762,14.83109782,-0.046690192,0.837029273,0,,
Unknown 004,16,18,17.06033799,16.9618356,0.098502389,0.83917132,0,,
Unknown 171,16,18,15.00428115,14.90704146,0.097239689,0.843727043,0,,
Unknown 084,16,18,16.61986989,16.59259709,0.027272803,0.849440224,0,,
Unknown 137,16,18,14.65721893,14.73389812,-0.076679185,0.851148055,0,,
Unknown 219,16,18,15.04723798,15.14034421,-0.093106222,0.851283655,0,,
Unknown 179,16,18,15.49975241,15.54887424,-0.04912183,0.855159202,0,,
Unknown 086,16,18,14.82628841,14.87780467,-0.05151626,0.861955905,0,,
Unknown 123,16,18,15.81701192,15.85411648,-0.037104565,0.864795663,0,,
Unknown 029,16,18,13.67579464,13.69278554,-0.016990899,0.867750968,0,,
4-hydroxybenzoic acid (p-salicylic acid),16,18,14.53518476,14.51710691,0.01807785,0.868567953,0,,
Unknown 182,16,18,14.73671461,14.67062852,0.066086088,0.874412699,0,,
Unknown 053,16,18,14.30623169,14.35253917,-0.046307481,0.879215047,0,,
Ursolic acid,16,18,16.39317218,16.41746316,-0.024290978,0.881132598,0,,
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),16,18,14.19726126,14.17494277,0.022318488,0.887510047,0,,
Glycerol,16,18,19.20390583,19.22443375,-0.020527914,0.898565053,0,,
Unknown 044,16,18,13.47861057,13.45479562,0.02381495,0.902228346,0,,
Unknown 087,16,18,13.87424082,13.92250904,-0.048268216,0.906599662,0,,
Unknown 108,16,18,14.4096316,14.38974195,0.019889657,0.913947048,0,,
Unknown 111,16,18,15.44808896,15.42379028,0.024298678,0.917575434,0,,
Unknown 062,16,18,13.1178611,13.13752347,-0.019662374,0.921364016,0,,
Campesterol,16,18,17.45465222,17.44974308,0.004909138,0.922404711,0,,
Unknown 154,16,18,14.4098095,14.4631177,-0.053308203,0.92770682,0,,
Oleic acid,16,18,16.00267066,16.00954208,-0.00687142,0.928491319,0,,
Unknown 180,12,14,14.62651872,14.59212292,0.034395802,0.937636149,0,,
Unknown 103,16,18,14.56794149,14.58428673,-0.016345234,0.942744172,0,,
D-mannitol,16,18,18.31364224,18.29569497,0.017947267,0.947188998,0,,
Unknown 132,16,18,15.38182601,15.40762697,-0.025800967,0.949670619,0,,
Unknown 005,16,18,13.78345387,13.78975321,-0.006299339,0.951459209,0,,
Unknown 136,16,18,14.93389982,14.91197136,0.021928464,0.955746712,0,,
Caprylic acid,16,18,13.5857629,13.57922882,0.006534083,0.956338304,0,,
Unknown 028,16,18,15.63130224,15.6381416,-0.006839356,0.958864789,0,,
Sugars - Monosaccharide - Deoxy,16,18,13.53666334,13.52684944,0.009813899,0.961053171,0,,
Unknown 098,16,18,16.14838523,16.14078893,0.007596306,0.962303405,0,,
Unknown 193,16,18,15.81096109,15.79963011,0.011330979,0.966456657,0,,
Unknown 092,16,18,15.18987181,15.19700756,-0.007135751,0.967591275,0,,
Unknown 196,16,18,15.62931981,15.62444729,0.004872514,0.968352951,0,,
Unknown 238,16,18,16.75256024,16.75992328,-0.007363037,0.972210535,0,,
Unknown 169,16,18,15.30872213,15.31554035,-0.006818224,0.973035298,0,,
Unknown 085,16,18,16.68054548,16.68554209,-0.004996612,0.973506098,0,,
Unknown 033,16,18,17.74824879,17.75341443,-0.005165644,0.975633684,0,,
Unknown 140,16,18,14.0484022,14.04746313,0.000939075,0.992706248,0,,
Benzene-1,2,4-triol,16,17,13.96833388,12.91900693,1.049326952,0.000207694,1
